year,playername,role,nationality,age,iplexperienceyears,battingavg,battingsr,runsscored,fifties,hundreds,wickets,economyrate,bowlingavg,bowlingsr,basepricecr,soldpricecr,issold,franchise,performancescore,valueindex
2013,Darren Sammy,All-Rounder,Overseas,20,0,21.7,116.81,113,0,0,4,8.97,29.18,21.52,2.0,3.19,1,Sunrisers Hyderabad,35.65,11.18
2013,James Faulkner,All-Rounder,Overseas,20,0,18.66,113.47,118,0,0,6,8.5,29.67,20.49,2.0,3.0,1,Rajasthan Royals,37.56,12.52
2013,Michael Clarke,Batsman,Overseas,19,0,27.51,110.7,163,1,0,2,9.35,39.29,24.92,2.0,3.0,1,Pune Warriors India,47.47,15.82
2013,Ricky Ponting,Batsman,Overseas,19,0,25.51,113.52,141,1,0,1,9.48,38.11,28.0,2.0,3.0,1,Mumbai Indians,47.08,15.69
2013,Rudra Pratap Singh,Bowler,Indian,20,0,10.67,106.3,45,0,0,13,9.75,31.15,20.51,2.0,3.0,1,Royal Challengers Bengaluru,20.7,6.9
2013,Luke Pomersbach,Batsman,Overseas,19,0,25.49,114.97,155,1,0,0,10.07,38.37,26.16,2.0,2.25,1,Punjab Kings,47.79,21.24
2013,Moises Henriques,All-Rounder,Overseas,20,0,22.6,106.86,90,0,0,9,8.0,28.54,19.16,2.0,2.25,1,Royal Challengers Bengaluru,41.82,18.59
2013,Ravi Rampaul,Bowler,Overseas,20,0,11.17,108.4,50,0,0,7,9.08,28.02,21.67,2.0,2.17,1,Royal Challengers Bengaluru,13.76,6.34
2013,Jesse Ryder,All-Rounder,Overseas,20,0,19.1,105.0,78,0,0,5,8.76,27.76,17.8,1.5,1.95,1,Delhi Capitals,34.25,17.56
2013,Fidel Edwards,Bowler,Overseas,20,0,9.6,106.18,34,0,0,7,9.43,32.57,23.29,1.5,1.57,1,Rajasthan Royals,12.55,7.99
2013,Pankaj Singh,Bowler,Indian,20,0,10.85,94.12,30,0,0,7,9.81,30.39,21.51,1.0,1.12,1,Royal Challengers Bengaluru,11.37,10.15
2013,Clinton McKay,Bowler,Overseas,20,0,12.13,93.86,33,0,0,5,9.02,31.72,24.9,0.75,0.75,1,Sunrisers Hyderabad,10.77,14.36
2013,Daniel Christian,All-Rounder,Overseas,20,0,18.06,108.23,40,0,0,5,9.24,31.69,20.35,0.75,0.75,1,Royal Challengers Bengaluru,33.68,44.91
2013,Nathan McCullum,Bowler,Overseas,20,0,11.45,96.09,39,0,0,6,10.44,36.45,21.38,0.75,0.75,1,Sunrisers Hyderabad,9.39,12.52
2013,Philip Hughes,Batsman,Overseas,19,0,17.75,101.73,71,0,0,0,8.42,35.07,31.19,0.75,0.75,1,Mumbai Indians,39.04,52.05
2013,Sudeep Tyagi,Bowler,Indian,20,0,7.34,101.18,40,0,0,6,9.14,28.46,23.15,0.75,0.75,1,Sunrisers Hyderabad,11.98,15.97
2013,Christopher Barnwell,All-Rounder,Overseas,20,0,17.11,104.0,104,0,0,1,9.29,32.26,22.34,0.3,0.38,1,Royal Challengers Bengaluru,27.7,72.89
2013,Jacob Oram,All-Rounder,Overseas,20,0,17.99,107.41,63,1,0,3,8.49,30.09,22.88,0.3,0.38,1,Mumbai Indians,32.6,85.79
2013,Jeevan Mendis,All-Rounder,Overseas,20,0,16.71,102.48,96,2,0,4,8.47,26.51,21.85,0.3,0.38,1,Delhi Capitals,32.53,85.61
2013,Ryan McLaren,Bowler,Overseas,20,0,9.43,109.45,40,0,0,6,8.57,34.7,23.51,0.3,0.38,1,Kolkata Knight Riders,13.69,36.03
2013,Akila Dananjaya,All-Rounder,Overseas,20,0,16.54,104.42,68,0,0,5,8.91,30.05,20.81,0.3,0.15,1,Chennai Super Kings,33.2,221.33
2013,Ben Laughlin,Bowler,Overseas,20,0,11.92,104.59,43,0,0,6,10.3,31.66,22.01,0.2,0.15,1,Chennai Super Kings,9.43,62.87
2013,Jason Holder,All-Rounder,Overseas,20,0,28.27,110.57,144,1,0,12,8.72,26.46,21.07,0.2,0.15,1,Chennai Super Kings,46.14,307.6
2013,Kusal Janith Perera,Batsman,Indian,19,0,18.46,99.4,83,0,0,0,10.09,38.32,27.82,0.2,0.15,1,Rajasthan Royals,38.86,259.07
2013,Quinton de Kock,Batsman,Overseas,19,0,25.23,106.88,294,5,0,0,9.47,41.46,26.52,0.2,0.15,1,Sunrisers Hyderabad,48.04,320.27
2014,Yuvraj Singh,All-Rounder,Indian,20,0,39.8,164.99,304,2,0,21,7.71,18.49,13.63,2.0,14.0,1,Royal Challengers Bengaluru,72.73,5.2
2014,Dinesh Karthik,Batsman,Indian,19,0,43.16,160.03,443,2,1,0,9.42,35.15,28.67,2.0,12.5,1,Delhi Capitals,74.13,5.93
2014,Kevin Pietersen,Batsman,Overseas,19,0,37.0,142.95,336,1,1,1,8.58,37.88,28.13,2.0,9.0,1,Delhi Capitals,64.41,7.16
2014,Mitchell Johnson,Bowler,Overseas,20,0,13.93,116.08,87,0,0,15,8.78,28.84,20.26,2.0,6.5,1,Punjab Kings,27.03,4.16
2014,Glenn Maxwell,All-Rounder,Overseas,21,1,39.47,144.85,348,2,0,18,7.43,22.8,18.7,2.0,6.0,1,Punjab Kings,65.58,10.93
2014,David Warner,Batsman,Overseas,19,0,31.1,126.87,204,2,0,2,9.92,37.49,28.55,2.0,5.5,1,Sunrisers Hyderabad,54.58,9.92
2014,Jacques Kallis,All-Rounder,Overseas,20,0,26.95,119.88,123,0,0,4,7.81,25.85,22.21,2.0,5.5,1,Kolkata Knight Riders,39.89,7.25
2014,Michael Hussey,Batsman,Overseas,19,0,30.01,124.55,172,0,0,0,8.59,38.89,28.7,2.0,5.0,1,Mumbai Indians,52.81,10.56
2014,Mitchell Starc,Bowler,Overseas,20,0,17.38,126.74,133,0,0,32,6.89,20.01,15.51,2.0,5.0,1,Royal Challengers Bengaluru,58.66,11.73
2014,Murali Vijay,Batsman,Indian,19,0,30.91,119.68,228,2,0,0,10.03,37.09,29.7,2.0,5.0,1,Delhi Capitals,52.83,10.57
2014,Robin Uthappa,Batsman,Indian,19,0,27.47,123.2,211,1,0,0,10.17,37.04,29.5,2.0,5.0,1,Kolkata Knight Riders,52.17,10.43
2014,Amit Mishra,Bowler,Indian,20,0,11.33,110.68,70,0,0,12,8.95,26.83,20.64,2.0,4.75,1,Sunrisers Hyderabad,21.85,4.6
2014,Faf du Plessis,Batsman,Overseas,19,0,30.67,116.41,238,2,0,0,9.59,39.05,25.76,2.0,4.75,1,Chennai Super Kings,51.95,10.94
2014,Corey Anderson,All-Rounder,Overseas,20,0,28.23,117.01,126,0,0,5,8.2,28.16,20.53,2.0,4.5,1,Mumbai Indians,40.06,8.9
2014,Dwayne Smith,All-Rounder,Overseas,20,0,22.92,119.8,120,0,0,5,7.43,31.52,24.51,2.0,4.5,1,Chennai Super Kings,40.83,9.07
2014,Bhuvneshwar Kumar,Bowler,Indian,20,0,14.56,110.26,75,0,0,21,7.73,24.79,19.79,2.0,4.25,1,Sunrisers Hyderabad,39.06,9.19
2014,Mohammed Shami,Bowler,Indian,20,0,11.97,110.31,70,0,0,20,8.35,24.7,19.11,2.0,4.25,1,Delhi Capitals,35.65,8.39
2014,Nathan Coulter-Nile,Bowler,Overseas,21,1,13.37,107.49,75,0,0,18,8.23,22.57,16.98,2.0,4.25,1,Delhi Capitals,33.06,7.78
2014,Piyush Chawla,Bowler,Indian,20,0,12.11,113.51,77,0,0,16,8.71,25.69,21.01,2.0,4.25,1,Kolkata Knight Riders,28.64,6.74
2014,Aaron Finch,Batsman,Overseas,19,0,33.97,126.74,248,4,0,1,9.15,38.13,26.95,2.0,4.0,1,Sunrisers Hyderabad,56.57,14.14
2014,Steven Smith,All-Rounder,Overseas,20,0,23.98,118.64,126,1,0,11,7.9,31.12,22.56,2.0,4.0,1,Rajasthan Royals,47.12,11.78
2014,Karn Sharma,Bowler,Indian,20,0,12.84,115.37,38,0,0,12,8.46,26.53,20.26,2.0,3.75,1,Sunrisers Hyderabad,23.0,6.13
2014,Darren Sammy,All-Rounder,Overseas,21,1,24.4,117.02,162,1,0,5,8.99,29.28,17.67,2.0,3.5,1,Sunrisers Hyderabad,37.52,10.72
2014,Quinton de Kock,Batsman,Overseas,20,1,32.79,130.99,290,1,1,0,9.62,37.98,25.94,2.0,3.5,1,Delhi Capitals,58.21,16.63
2014,Brendon McCullum,Batsman,Overseas,19,0,27.91,107.28,164,1,0,1,9.47,39.34,26.97,2.0,3.25,1,Chennai Super Kings,46.63,14.35
2014,George Bailey,Batsman,Overseas,19,0,28.05,122.86,176,1,0,1,8.43,38.33,27.41,2.0,3.25,1,Punjab Kings,51.6,15.88
2014,Pragyan Ojha,Bowler,Indian,20,0,11.98,104.61,70,0,0,7,8.48,29.28,21.16,2.0,3.25,1,Mumbai Indians,15.76,4.85
2014,Yusuf Pathan,All-Rounder,Indian,20,0,22.69,109.74,104,0,0,4,8.27,27.78,18.27,2.0,3.25,1,Kolkata Knight Riders,35.88,11.04
2014,Virender Sehwag,Batsman,Indian,19,0,24.24,108.83,211,3,0,0,9.61,39.11,28.46,2.0,3.2,1,Punjab Kings,46.56,14.55
2014,Rishi Dhawan,All-Rounder,Indian,20,0,19.68,114.69,113,0,0,6,7.98,31.13,23.18,2.0,3.0,1,Punjab Kings,39.1,13.03
2014,Jaydev Unadkat,Bowler,Indian,21,1,16.47,119.36,86,0,0,22,8.08,20.09,18.32,2.0,2.8,1,Delhi Capitals,39.62,14.15
2014,Manoj Tiwary,Batsman,Indian,19,0,22.1,109.47,136,1,1,0,9.51,37.54,28.11,2.0,2.8,1,Delhi Capitals,44.4,15.86
2014,Morne Morkel,Bowler,Overseas,20,0,10.27,110.08,56,0,0,7,8.68,29.3,22.55,2.0,2.8,1,Kolkata Knight Riders,15.02,5.36
2014,Ranganath Vinay Kumar,Bowler,Indian,20,0,13.69,103.97,65,0,0,10,8.66,31.63,22.83,2.0,2.8,1,Kolkata Knight Riders,19.67,7.03
2014,Shakib Al Hasan,All-Rounder,Overseas,20,0,23.3,104.61,123,2,0,5,8.49,28.26,19.92,2.0,2.8,1,Kolkata Knight Riders,35.77,12.78
2014,Ishant Sharma,Bowler,Indian,20,0,10.4,104.7,65,0,0,9,9.2,29.09,22.26,2.0,2.6,1,Sunrisers Hyderabad,16.55,6.37
2014,Umesh Yadav,Bowler,Indian,20,0,15.13,108.78,72,0,0,11,8.91,29.95,20.45,2.0,2.6,1,Kolkata Knight Riders,20.49,7.88
2014,Zaheer Khan,Bowler,Indian,20,0,10.95,104.48,26,0,0,6,9.34,27.23,20.52,2.0,2.6,1,Mumbai Indians,11.24,4.32
2014,Albie Morkel,All-Rounder,Overseas,20,0,22.15,116.96,44,0,0,2,9.55,30.3,22.18,2.0,2.4,1,Royal Challengers Bengaluru,32.23,13.43
2014,Brad Hodge,Batsman,Overseas,19,0,25.91,108.47,168,1,0,0,9.13,34.02,25.76,2.0,2.4,1,Rajasthan Royals,46.27,19.28
2014,Irfan Pathan,All-Rounder,Indian,20,0,15.46,102.94,80,0,0,3,8.71,31.79,20.22,2.0,2.4,1,Sunrisers Hyderabad,30.63,12.76
2014,Jean-Paul Duminy,All-Rounder,Overseas,20,0,21.18,101.56,97,0,0,7,8.83,30.18,20.81,2.0,2.2,1,Delhi Capitals,36.35,16.52
2014,Shaun Marsh,Batsman,Overseas,19,0,27.7,114.47,184,0,0,0,8.5,37.95,28.55,2.0,2.2,1,Punjab Kings,49.1,22.32
2014,Wriddhiman Saha,Batsman,Indian,19,0,25.38,115.38,208,2,1,0,8.41,36.39,28.83,2.0,2.2,1,Punjab Kings,48.93,22.24
2014,Ashish Nehra,Bowler,Indian,20,0,10.15,92.4,46,0,0,13,8.61,28.49,22.16,2.0,2.0,1,Chennai Super Kings,24.13,12.06
2014,Kedar Jadhav,All-Rounder,Indian,20,0,30.47,118.03,149,2,0,8,8.83,26.38,19.27,2.0,2.0,1,Delhi Capitals,43.16,21.58
2014,Mohit Sharma,Bowler,Indian,20,0,13.55,94.55,55,0,0,14,8.62,29.45,21.86,2.0,2.0,1,Chennai Super Kings,25.69,12.85
2014,Ross Taylor,Batsman,Overseas,19,0,25.88,110.64,202,3,0,0,8.99,38.05,27.1,2.0,2.0,1,Delhi Capitals,47.58,23.79
2014,Varun Aaron,Bowler,Indian,20,0,11.46,116.82,24,0,0,8,9.83,31.47,22.58,2.0,2.0,1,Royal Challengers Bengaluru,12.75,6.38
2014,Cheteshwar Pujara,Batsman,Indian,19,0,23.98,102.52,184,0,0,0,8.89,38.5,27.73,1.5,1.9,1,Punjab Kings,44.03,23.17
2014,Rahul Sharma,Bowler,Indian,20,0,11.0,105.71,51,0,0,7,9.86,33.51,21.76,1.5,1.9,1,Delhi Capitals,11.43,6.02
2014,Beuran Hendricks,Bowler,Overseas,20,0,13.05,96.59,42,0,0,13,9.28,34.53,22.33,1.5,1.8,1,Punjab Kings,22.08,12.27
2014,Lakshmipathy Balaji,Bowler,Indian,20,0,10.8,88.43,16,0,0,6,8.93,30.48,22.25,1.5,1.8,1,Punjab Kings,12.37,6.87
2014,Manish Pandey,Batsman,Indian,19,0,33.02,118.76,348,4,1,2,9.98,34.24,27.52,1.5,1.7,1,Kolkata Knight Riders,55.8,32.82
2014,Rajat Bhatia,All-Rounder,Indian,20,0,20.85,101.87,86,0,0,2,7.96,25.48,18.75,1.5,1.7,1,Rajasthan Royals,32.07,18.86
2014,Aditya Tare,Batsman,Indian,19,0,22.18,98.16,105,1,0,0,8.15,38.61,28.11,1.5,1.6,1,Mumbai Indians,40.42,25.26
2014,Mayank Agarwal,Batsman,Indian,19,0,28.67,115.95,202,1,0,2,9.32,37.43,27.84,1.5,1.6,1,Delhi Capitals,50.29,31.43
2014,Thisara Perera,All-Rounder,Overseas,21,1,21.78,125.12,148,1,0,11,8.44,26.78,19.14,1.5,1.6,1,Punjab Kings,46.79,29.24
2014,Ashok Dinda,Bowler,Indian,20,0,10.84,108.02,66,0,0,7,8.75,32.69,22.13,1.5,1.5,1,Royal Challengers Bengaluru,14.91,9.94
2014,Ishwar Chandra Pandey,Bowler,Indian,20,0,11.35,107.41,25,0,0,7,9.13,28.98,19.98,1.5,1.5,1,Chennai Super Kings,13.36,8.91
2014,Laxmi Ratan Shukla,All-Rounder,Indian,20,0,18.2,108.78,70,0,0,1,9.07,30.31,20.71,1.5,1.5,1,Delhi Capitals,29.37,19.58
2014,Parthiv Patel,Batsman,Indian,19,0,23.19,107.7,183,3,0,0,9.56,35.81,29.05,1.0,1.4,1,Royal Challengers Bengaluru,45.25,32.32
2014,Chris Lynn,Batsman,Overseas,19,0,31.21,119.61,288,2,0,2,9.49,39.11,28.44,1.0,1.3,1,Kolkata Knight Riders,54.13,41.64
2014,Gurkeerat Singh Mann,All-Rounder,Indian,20,0,17.93,94.29,85,0,0,4,8.04,26.99,21.91,1.0,1.3,1,Punjab Kings,32.06,24.66
2014,Jasprit Bumrah,Bowler,Indian,20,0,14.37,113.67,56,0,0,8,9.54,32.89,24.33,1.0,1.2,1,Mumbai Indians,13.94,11.62
2014,Tim Southee,Bowler,Overseas,20,0,12.39,103.37,39,0,0,11,9.05,35.81,22.01,1.0,1.2,1,Rajasthan Royals,19.74,16.45
2014,Dhawal Kulkarni,Bowler,Indian,20,0,11.86,92.95,50,0,0,6,9.73,29.82,21.15,1.0,1.1,1,Rajasthan Royals,10.31,9.37
2014,Abhishek Nayar,All-Rounder,Indian,21,1,24.79,108.47,172,1,0,10,9.51,29.43,16.9,1.0,1.0,1,Rajasthan Royals,40.87,40.87
2014,Ben Hilfenhaus,Bowler,Overseas,20,0,9.81,104.89,32,0,0,6,9.36,33.46,22.04,1.0,1.0,1,Chennai Super Kings,11.24,11.24
2014,James Neesham,All-Rounder,Overseas,20,0,20.22,107.92,110,0,0,6,9.47,28.06,17.63,1.0,1.0,1,Delhi Capitals,34.9,34.9
2014,KL Rahul,Batsman,Indian,21,0,39.63,139.17,380,2,0,3,9.2,36.84,28.38,1.0,1.0,1,Sunrisers Hyderabad,65.2,65.2
2014,Kane Richardson,Bowler,Overseas,21,1,11.56,102.43,62,0,0,13,8.86,25.62,19.82,1.0,1.0,1,Rajasthan Royals,23.54,23.54
2014,Moises Henriques,All-Rounder,Overseas,21,1,23.89,112.44,152,0,0,9,8.39,30.09,21.25,1.0,1.0,1,Sunrisers Hyderabad,42.48,42.48
2014,Murali Kartik,Bowler,Indian,20,0,9.82,105.43,20,0,0,6,9.33,37.48,20.48,1.0,1.0,1,Punjab Kings,11.21,11.21
2014,Muttiah Muralitharan,Bowler,Overseas,20,0,10.28,102.44,22,0,0,7,9.93,31.93,22.25,1.0,1.0,1,Royal Challengers Bengaluru,10.93,10.93
2014,Pat Cummins,All-Rounder,Overseas,20,0,33.31,129.33,314,2,0,18,7.24,16.81,12.89,1.0,1.0,1,Kolkata Knight Riders,61.31,61.31
2014,Ryan Ten Doeschate,All-Rounder,Overseas,20,0,22.76,105.15,75,1,0,0,9.32,30.52,21.6,1.0,1.0,1,Kolkata Knight Riders,28.08,28.08
2014,Wayne Parnell,Bowler,Overseas,20,0,12.72,95.81,69,0,0,8,8.52,30.05,24.82,1.0,1.0,1,Delhi Capitals,17.13,17.13
2014,Parveez Rasool,All-Rounder,Indian,20,0,15.44,97.42,117,1,0,3,8.35,29.95,21.35,0.75,0.95,1,Sunrisers Hyderabad,30.24,31.83
2014,Jalaj Saxena,All-Rounder,Indian,20,0,18.65,105.04,48,0,0,4,9.2,30.08,21.69,0.75,0.9,1,Mumbai Indians,32.07,35.63
2014,Ravi Rampaul,Bowler,Overseas,21,1,10.68,107.09,54,0,0,7,8.6,28.29,22.05,0.75,0.9,1,Royal Challengers Bengaluru,15.24,16.93
2014,Sandeep Sharma,Bowler,Indian,20,0,8.62,108.09,58,0,0,3,8.59,33.01,17.48,0.75,0.85,1,Punjab Kings,9.31,10.95
2014,Shahbaz Nadeem,Bowler,Indian,20,0,11.01,98.37,82,1,0,8,9.43,29.88,21.18,0.75,0.85,1,Delhi Capitals,14.53,17.09
2014,Ben Cutting,All-Rounder,Overseas,20,0,21.05,114.25,154,1,0,7,8.4,30.35,20.68,0.75,0.8,1,Rajasthan Royals,39.71,49.64
2014,Mandeep Hardev Singh,All-Rounder,Indian,20,0,21.14,97.7,136,0,0,4,8.4,29.02,21.93,0.75,0.8,1,Punjab Kings,32.83,41.04
2014,Axar Patel,All-Rounder,Indian,20,0,17.55,111.15,112,0,0,5,8.81,27.62,20.34,0.75,0.75,1,Punjab Kings,35.0,46.67
2014,Jason Holder,All-Rounder,Overseas,21,1,27.32,125.62,247,2,0,9,8.31,25.15,16.61,0.75,0.75,1,Sunrisers Hyderabad,46.13,61.51
2014,Karun Nair,Batsman,Indian,19,0,28.8,117.13,189,3,0,2,9.25,38.26,28.55,0.75,0.75,1,Rajasthan Royals,50.44,67.25
2014,Saurabh Tiwary,Batsman,Indian,19,0,20.38,101.61,55,1,0,0,9.29,34.87,28.34,0.5,0.7,1,Delhi Capitals,39.73,56.76
2014,Suryakumar Yadav,Batsman,Indian,21,0,23.05,121.99,210,3,0,0,9.2,38.78,30.1,0.5,0.7,1,Kolkata Knight Riders,50.02,71.46
2014,Iqbal Abdullah,All-Rounder,Indian,20,0,16.91,97.84,99,2,0,3,9.11,30.12,22.99,0.5,0.65,1,Rajasthan Royals,29.18,44.89
2014,Parvinder Awana,Bowler,Indian,20,0,11.28,109.32,32,0,0,6,8.88,33.41,22.71,0.5,0.65,1,Punjab Kings,12.68,19.51
2014,Unmukt Chand,Batsman,Indian,19,0,17.82,93.4,54,0,0,1,9.29,33.48,27.71,0.5,0.65,1,Rajasthan Royals,36.23,55.74
2014,Andre Russell,All-Rounder,Overseas,20,0,20.7,101.83,113,1,0,5,10.12,30.23,17.68,0.5,0.6,1,Kolkata Knight Riders,31.54,52.57
2014,Manvinder Bisla,Batsman,Indian,19,0,22.48,100.26,146,2,0,0,9.12,38.67,23.6,0.5,0.6,1,Kolkata Knight Riders,41.99,69.98
2014,Venugopal Rao,Batsman,Indian,19,0,20.89,96.32,108,0,0,0,8.75,38.65,26.27,0.5,0.55,1,Sunrisers Hyderabad,39.41,71.65
2014,John Hastings,All-Rounder,Overseas,20,0,19.1,97.07,80,0,0,5,9.09,26.65,20.82,0.5,0.5,1,Chennai Super Kings,32.01,64.02
2014,Josh Hazlewood,Bowler,Overseas,20,0,15.62,118.36,100,0,0,19,7.41,22.51,17.94,0.5,0.5,1,Mumbai Indians,37.27,74.54
2014,Naman Ojha,Batsman,Indian,19,0,18.87,99.49,61,0,0,1,10.7,36.83,30.15,0.5,0.5,1,Sunrisers Hyderabad,38.61,77.22
2014,Nic Maddinson,Batsman,Overseas,19,0,23.52,100.13,84,0,0,0,8.97,40.45,30.37,0.5,0.5,1,Royal Challengers Bengaluru,41.13,82.26
2014,Siddarth Kaul,Bowler,Indian,20,0,10.94,113.9,42,0,0,11,8.1,33.68,22.19,0.3,0.45,1,Delhi Capitals,22.62,50.27
2014,Deepak Hooda,All-Rounder,Indian,20,0,24.83,100.51,144,2,0,5,8.33,26.51,20.95,0.3,0.4,1,Rajasthan Royals,35.65,89.12
2014,Harshal Patel,All-Rounder,Indian,20,0,26.95,126.78,221,2,0,14,8.37,26.45,16.45,0.3,0.4,1,Royal Challengers Bengaluru,52.15,130.38
2014,Kuldeep Yadav,Bowler,Indian,20,0,12.79,112.33,41,0,0,10,8.21,28.42,22.26,0.3,0.4,1,Kolkata Knight Riders,20.78,51.95
2014,Rahul Shukla,Bowler,Indian,20,0,12.23,113.92,66,0,0,4,10.02,30.31,20.84,0.3,0.4,1,Delhi Capitals,6.66,16.65
2014,Veer Pratap Singh,Bowler,Indian,20,0,11.27,104.3,48,0,0,4,9.75,29.62,23.31,0.3,0.4,1,Kolkata Knight Riders,7.23,18.07
2014,Abu Nechim Ahmed,Bowler,Indian,20,0,10.97,95.21,28,0,0,8,9.65,31.19,21.34,0.3,0.3,1,Royal Challengers Bengaluru,13.33,44.43
2014,Brendan Taylor,Batsman,Overseas,19,0,24.78,104.54,75,0,0,0,10.51,38.87,27.16,0.3,0.3,1,Sunrisers Hyderabad,42.77,142.57
2014,Dishant Yagnik,Batsman,Indian,19,0,18.35,92.26,133,1,0,1,9.08,38.06,28.4,0.3,0.3,1,Rajasthan Royals,37.68,125.6
2014,Kevon Cooper,All-Rounder,Overseas,20,0,17.26,104.76,34,0,0,3,9.12,28.8,22.7,0.3,0.3,1,Rajasthan Royals,30.63,102.1
2014,Krismar Santokie,Bowler,Overseas,20,0,11.17,90.89,6,0,0,5,9.26,32.5,22.82,0.3,0.3,1,Mumbai Indians,9.78,32.6
2014,Marchant De Lange,Bowler,Overseas,20,0,11.65,80.35,10,0,0,6,9.58,30.17,21.8,0.3,0.3,1,Mumbai Indians,10.36,34.53
2014,Matt Henry,Bowler,Overseas,20,0,13.56,100.7,76,0,0,8,9.89,31.49,20.6,0.3,0.3,1,Chennai Super Kings,13.09,43.63
2014,Mithun Manhas,All-Rounder,Indian,20,0,18.7,97.02,93,1,0,6,8.73,27.51,19.51,0.3,0.3,1,Chennai Super Kings,33.82,112.73
2014,Prasanth Parameswaran,Bowler,Indian,20,0,8.81,96.33,23,0,0,10,10.17,31.82,22.32,0.3,0.3,1,Sunrisers Hyderabad,15.23,50.77
2014,Samuel Badree,Bowler,Overseas,20,0,11.51,107.47,13,0,0,4,8.82,30.43,22.86,0.3,0.3,1,Chennai Super Kings,9.67,32.23
2014,Vijay Zol,Batsman,Indian,19,0,20.03,107.02,109,1,0,0,8.3,34.64,28.32,0.3,0.3,1,Royal Challengers Bengaluru,42.3,141.0
2014,Amit Paunikar,Batsman,Indian,19,0,19.64,99.33,142,0,0,1,8.93,36.36,28.3,0.2,0.2,1,Sunrisers Hyderabad,40.5,202.5
2014,Anureet Singh,Bowler,Indian,20,0,12.13,103.07,47,0,0,5,9.6,31.18,22.6,0.2,0.2,1,Punjab Kings,9.17,45.85
2014,Ashish Reddy,Bowler,Indian,20,0,13.04,101.75,56,0,0,3,9.11,29.56,21.58,0.2,0.2,1,Sunrisers Hyderabad,7.73,38.65
2014,Ben Dunk,Batsman,Overseas,19,0,22.31,96.33,38,0,0,0,9.15,41.87,29.66,0.2,0.2,1,Mumbai Indians,38.58,192.9
2014,C.M. Gautam,Batsman,Indian,19,0,21.95,104.94,63,0,0,0,10.0,37.11,30.18,0.2,0.2,1,Mumbai Indians,41.52,207.6
2014,Debabrata Das,Batsman,Indian,19,0,14.67,92.4,90,0,0,1,8.71,36.33,28.35,0.2,0.2,1,Kolkata Knight Riders,35.39,176.95
2014,Sachin Rana,Bowler,Indian,20,0,9.06,102.02,65,0,0,5,9.18,31.95,19.72,0.2,0.2,1,Royal Challengers Bengaluru,10.61,53.05
2014,Shadab Jakati,All-Rounder,Indian,20,0,18.06,107.81,83,1,0,2,8.59,31.74,22.22,0.2,0.2,1,Royal Challengers Bengaluru,31.3,156.5
2014,Shardul Thakur,Bowler,Indian,20,0,13.12,116.1,52,0,0,20,7.94,24.15,16.47,0.2,0.2,1,Punjab Kings,36.7,183.5
2014,Srikkanth Anirudha,Batsman,Indian,19,0,19.57,100.2,46,1,0,0,9.05,36.84,29.04,0.2,0.2,1,Sunrisers Hyderabad,38.81,194.05
2014,Vikramjeet Malik,Bowler,Indian,20,0,9.98,110.03,31,0,0,1,8.81,26.77,22.56,0.2,0.2,1,Rajasthan Royals,5.38,26.9
