year,player_name,role,nationality,age,ipl_experience_years,batting_avg,batting_sr,runs_scored,fifties,hundreds,wickets,economy_rate,bowling_avg,bowling_sr,base_price_cr,sold_price_cr,is_sold,franchise,performance_score,value_index
2015,Ben Stokes,All-Rounder,Indian,21,0,25.9,102.47,111,1,0,12,8.75,32.77,20.14,1.0,7.66,1,Mumbai Indians,43.87,5.73
2015,Bhuvneshwar Kumar,Bowler,Indian,23,0,7.36,146.11,48,0,0,25,8.3,30.08,10.0,0.5,4.37,1,Mumbai Indians,43.08,9.86
2015,Ruturaj Gaikwad,Batsman,Indian,23,0,26.8,156.78,454,7,2,3,9.62,45.65,20.9,0.5,8.96,1,Chennai Super Kings,66.83,7.46
2016,Lockie Ferguson,Bowler,South African,24,1,10.93,81.53,94,0,0,10,10.29,25.01,16.96,0.5,3.65,1,Punjab Kings,15.94,4.37
2016,Sanju Samson,Batsman,Indian,20,0,16.53,116.27,221,4,0,5,10.98,32.86,23.7,1.0,5.74,1,Sunrisers Hyderabad,45.91,8.0
2016,Dwayne Bravo,Bowler,Indian,27,0,14.1,100.49,71,0,0,14,8.05,20.99,18.87,1.0,5.76,1,Punjab Kings,27.56,4.78
2016,Tilak Varma,Batsman,Indian,23,0,29.01,116.88,445,8,2,6,12.85,28.34,14.0,0.2,4.69,1,Royal Challengers Bangalore,55.57,11.85
2016,Ben Stokes,Bowler,Indian,23,0,15.26,137.67,109,0,0,16,8.85,36.1,18.64,0.5,5.27,1,Kolkata Knight Riders,28.54,5.42
2016,Axar Patel,Batsman,Indian,23,1,38.56,147.13,518,9,1,6,8.53,39.81,21.78,1.0,7.02,1,Gujarat Titans,69.92,9.96
2016,Glenn Maxwell,Batsman,Indian,21,0,29.54,141.94,379,6,1,7,7.72,31.01,28.62,0.2,7.0,1,Mumbai Indians,61.98,8.85
2016,Dwayne Bravo,All-Rounder,Indian,26,0,20.86,150.54,163,1,0,10,9.68,27.66,26.49,1.0,9.31,1,Lucknow Super Giants,47.96,5.15
2016,Kyle Jamieson,Bowler,Indian,20,0,21.73,143.83,86,0,0,6,8.06,27.8,12.09,0.5,3.88,1,Mumbai Indians,15.68,4.04
2016,Yashasvi Jaiswal,Batsman,Indian,22,1,41.31,121.27,296,4,0,4,10.25,52.21,36.0,0.2,4.66,1,Royal Challengers Bangalore,58.82,12.62
2016,Andre Russell,All-Rounder,Indian,22,1,28.95,142.45,290,3,0,11,7.57,30.26,26.25,1.0,12.34,1,Gujarat Titans,53.79,4.36
2016,Mohammed Siraj,Bowler,English,24,1,6.44,128.34,20,0,0,15,8.73,18.03,20.56,0.5,4.04,1,Kolkata Knight Riders,26.51,6.56
2016,Rishabh Pant,Batsman,Indian,23,0,28.38,95.0,159,2,0,5,10.06,39.79,23.85,0.2,4.51,1,Chennai Super Kings,43.03,9.54
2016,Quinton de Kock,Batsman,Indian,25,0,29.41,138.86,173,2,1,2,9.59,27.2,21.17,0.5,8.84,1,Gujarat Titans,56.88,6.43
2016,Kieron Pollard,All-Rounder,Indian,25,1,30.92,140.47,195,2,0,7,9.16,22.41,29.06,2.0,11.76,1,Gujarat Titans,45.9,3.9
2016,T Natarajan,Bowler,English,25,1,18.11,143.78,236,1,0,12,10.79,31.03,16.6,0.2,5.85,1,Punjab Kings,20.36,3.48
2016,Yuzvendra Chahal,Bowler,Indian,25,0,11.09,104.35,80,0,0,14,8.83,20.56,16.9,0.5,7.0,1,Delhi Capitals,25.31,3.62
2016,Harshal Patel,Bowler,Indian,24,0,18.04,80.0,49,0,0,11,6.56,21.15,11.62,1.0,4.9,1,Rajasthan Royals,27.31,5.57
2016,Marcus Stoinis,All-Rounder,South African,24,0,30.53,145.46,33,0,0,4,6.77,42.01,19.47,2.0,22.8,1,Delhi Capitals,47.98,2.1
2016,Prasidh Krishna,Bowler,Indian,24,0,9.67,85.01,59,0,0,2,7.61,27.74,15.09,1.0,4.08,1,Royal Challengers Bangalore,10.76,2.64
2016,Ishan Kishan,Batsman,Indian,22,0,31.8,159.11,415,7,2,1,7.0,37.35,17.07,0.5,7.74,1,Sunrisers Hyderabad,68.75,8.88
2016,Sam Curran,All-Rounder,Indian,24,0,36.02,158.75,79,0,0,5,9.36,25.9,12.0,1.0,8.3,1,Chennai Super Kings,48.04,5.79
2016,Prithvi Shaw,Batsman,Indian,21,1,19.55,130.29,570,9,2,5,11.61,20.0,27.02,1.0,3.49,1,Sunrisers Hyderabad,58.31,16.71
2016,Deepak Chahar,Bowler,New Zealand,22,1,21.18,120.25,94,0,0,13,8.11,23.78,19.91,0.2,5.66,1,Chennai Super Kings,26.11,4.61
2016,Kuldeep Yadav,Bowler,Indian,24,0,16.15,95.32,47,0,0,20,10.57,22.72,17.27,0.5,5.09,1,Lucknow Super Giants,30.47,5.99
2016,Ajinkya Rahane,Batsman,Indian,20,0,25.03,145.26,237,5,1,4,8.56,54.14,22.86,1.0,6.47,1,Royal Challengers Bangalore,58.33,9.02
2016,Sam Curran,Bowler,Indian,24,0,14.38,114.41,140,1,0,9,8.65,27.04,17.79,1.5,3.92,1,Chennai Super Kings,18.95,4.83
2016,Ravindra Jadeja,All-Rounder,Indian,23,0,16.37,160.62,142,1,0,9,10.11,26.23,21.7,1.5,12.93,1,Rajasthan Royals,47.02,3.64
2016,Ravindra Jadeja,Bowler,Indian,23,0,20.41,111.95,78,0,0,15,7.82,29.69,20.92,0.5,3.53,1,Royal Challengers Bangalore,29.82,8.45
2016,Aaron Finch,Batsman,Australian,24,0,44.76,122.75,231,3,1,0,7.56,28.99,25.02,1.0,8.98,1,Lucknow Super Giants,59.35,6.61
2016,Mitchell Marsh,All-Rounder,Australian,25,0,45.0,128.66,56,0,0,8,6.5,24.27,28.12,1.5,17.96,1,Gujarat Titans,53.58,2.98
2016,Avesh Khan,Bowler,West Indian,21,1,19.55,121.19,116,0,0,13,7.3,22.32,10.23,0.5,6.06,1,Lucknow Super Giants,28.76,4.75
2016,Heinrich Klaasen,Batsman,South African,22,0,51.65,155.62,380,6,1,1,7.91,35.63,25.98,0.2,12.47,1,Chennai Super Kings,74.95,6.01
2016,Washington Sundar,Batsman,Indian,22,0,19.26,145.93,347,6,1,4,8.63,35.64,26.83,1.0,6.49,1,Delhi Capitals,58.42,9.0
2016,Ruturaj Gaikwad,Batsman,Indian,24,1,42.6,145.6,262,3,0,4,9.76,37.65,14.29,0.5,9.29,1,Chennai Super Kings,65.96,7.1
2016,Nitish Rana,All-Rounder,Indian,21,0,36.74,111.44,243,2,0,4,11.69,19.34,22.62,2.0,6.9,1,Delhi Capitals,36.27,5.26
2016,Jos Buttler,Batsman,Indian,23,0,27.62,121.12,265,5,1,1,10.6,21.48,28.0,1.0,4.5,1,Gujarat Titans,52.68,11.71
2016,Devon Conway,Batsman,Australian,22,0,39.81,157.87,386,6,2,1,8.93,32.96,20.51,0.2,7.79,1,Rajasthan Royals,71.0,9.11
2016,Venkatesh Iyer,Batsman,Indian,26,0,41.91,134.13,287,4,1,3,10.0,43.34,14.0,0.5,8.49,1,Delhi Capitals,62.74,7.39
2016,Khaleel Ahmed,Bowler,Indian,22,0,6.0,85.75,99,0,0,12,9.24,14.0,22.24,0.2,3.55,1,Delhi Capitals,21.27,5.99
2016,Shreyas Iyer,Batsman,Indian,24,1,44.67,132.48,547,9,2,0,8.13,32.18,29.19,0.2,9.68,1,Chennai Super Kings,68.55,7.08
2016,Krunal Pandya,All-Rounder,Indian,22,0,24.42,95.78,164,1,0,11,9.38,24.29,28.45,1.0,12.77,1,Mumbai Indians,39.7,3.11
2016,Umesh Yadav,Bowler,Indian,23,1,15.49,112.82,165,1,0,12,8.52,25.93,14.33,0.2,5.06,1,Rajasthan Royals,24.09,4.76
2016,Shubman Gill,Batsman,Indian,27,0,28.53,128.21,360,6,1,4,8.42,60.0,29.47,0.2,4.09,1,Delhi Capitals,57.08,13.95
2016,Anrich Nortje,Bowler,Indian,26,0,15.06,86.14,36,0,0,10,7.47,22.88,17.23,2.0,6.41,1,Sunrisers Hyderabad,22.95,3.58
2016,Shivam Dube,All-Rounder,Indian,24,0,29.08,118.82,54,0,0,13,10.29,16.0,17.19,1.0,8.06,1,Lucknow Super Giants,46.63,5.79
2016,Virat Kohli,Batsman,Indian,23,1,27.49,130.6,345,6,0,0,8.92,36.7,24.96,1.5,7.74,1,Chennai Super Kings,57.08,7.37
2016,Suryakumar Yadav,Batsman,South African,26,1,35.93,119.5,446,6,2,5,12.07,24.41,26.28,0.5,5.53,1,Royal Challengers Bangalore,59.14,10.69
2016,Sunil Narine,Bowler,Indian,22,1,11.54,80.0,77,0,0,15,6.43,25.1,16.94,0.2,6.43,1,Rajasthan Royals,33.98,5.28
2016,David Warner,Batsman,Indian,20,0,18.06,137.91,303,5,1,4,10.16,47.06,22.16,2.0,8.33,1,Punjab Kings,54.66,6.56
2016,Hardik Pandya,Batsman,Indian,23,0,26.65,156.72,277,3,0,8,9.37,44.21,32.46,1.5,10.81,1,Mumbai Indians,63.22,5.85
2016,Chris Morris,All-Rounder,Indian,25,0,23.13,147.52,216,2,0,9,9.83,36.59,19.38,0.5,8.58,1,Rajasthan Royals,46.43,5.41
2016,Faf du Plessis,Batsman,Indian,23,0,39.59,138.63,267,3,1,5,8.21,26.2,29.77,0.5,7.54,1,Kolkata Knight Riders,62.76,8.32
2016,Dinesh Karthik,Batsman,New Zealand,24,0,32.46,142.83,533,8,1,4,8.26,37.02,29.16,0.5,5.55,1,Chennai Super Kings,66.49,11.98
2016,Hardik Pandya,All-Rounder,Indian,23,0,20.61,121.37,241,2,0,7,7.06,34.39,21.52,2.0,10.97,1,Lucknow Super Giants,43.71,3.98
2016,Rohit Sharma,Batsman,Indian,23,0,22.07,148.9,194,4,1,3,9.99,35.3,23.43,1.0,6.73,1,Gujarat Titans,57.38,8.53
2016,R Ashwin,Bowler,Indian,20,0,22.74,129.81,91,0,0,5,7.95,18.9,14.68,0.5,2.83,1,Royal Challengers Bangalore,14.56,5.14
2017,Mohammed Siraj,Bowler,English,25,0,24.27,135.79,141,1,0,2,9.64,24.5,18.25,0.2,1.24,1,Lucknow Super Giants,5.49,4.43
2017,Shubman Gill,Batsman,Indian,27,0,20.4,118.09,295,6,0,0,9.07,25.58,31.26,0.2,6.58,1,Punjab Kings,49.49,7.52
2017,Manish Pandey,Batsman,Indian,22,0,45.45,124.48,489,6,1,1,9.54,45.75,20.77,0.2,8.48,1,Punjab Kings,65.3,7.7
2017,Lockie Ferguson,Bowler,South African,25,0,24.79,136.04,62,0,0,16,8.19,31.87,21.46,1.0,6.44,1,Lucknow Super Giants,30.05,4.67
2017,Liam Livingstone,All-Rounder,Indian,30,1,8.0,135.39,281,3,0,6,7.97,18.82,23.87,1.0,11.09,1,Kolkata Knight Riders,40.34,3.64
2017,Yashasvi Jaiswal,Batsman,Indian,24,0,41.77,148.48,322,5,1,0,11.3,20.0,16.48,0.5,9.72,1,Punjab Kings,67.69,6.96
2017,Heinrich Klaasen,Batsman,South African,23,1,37.74,168.16,591,10,1,5,8.88,40.29,19.85,0.5,7.26,1,Gujarat Titans,77.36,10.66
2017,Ambati Rayudu,Batsman,West Indian,26,0,23.11,137.07,374,6,1,1,11.99,30.43,20.39,1.0,10.62,1,Punjab Kings,57.84,5.45
2017,Faf du Plessis,Batsman,Indian,23,2,31.57,152.63,315,5,1,0,9.4,37.45,30.96,0.2,8.06,1,Delhi Capitals,64.72,8.03
2017,Harbhajan Singh,Bowler,Indian,24,0,5.0,134.45,144,1,0,10,8.28,27.1,10.75,1.0,3.9,1,Kolkata Knight Riders,21.6,5.54
2017,Shreyas Iyer,Batsman,Indian,25,0,35.57,125.34,283,6,0,0,8.59,51.29,25.58,0.5,6.58,1,Gujarat Titans,57.49,8.74
2017,Kyle Jamieson,Bowler,Indian,21,0,17.57,130.25,110,0,0,10,7.21,24.52,12.71,0.2,1.91,1,Sunrisers Hyderabad,24.47,12.81
2017,Washington Sundar,Batsman,Indian,24,0,30.39,135.45,335,6,1,6,10.92,28.11,22.19,2.0,7.28,1,Sunrisers Hyderabad,59.49,8.17
2017,Dinesh Karthik,Batsman,New Zealand,25,1,26.83,123.61,332,5,1,0,7.33,35.95,21.84,0.5,10.75,1,Lucknow Super Giants,54.46,5.07
2017,Umesh Yadav,Bowler,Indian,25,0,25.97,159.42,83,0,0,8,7.29,14.9,14.93,0.5,5.64,1,Royal Challengers Bangalore,20.96,3.72
2017,Rashid Khan,Bowler,Indian,18,2,15.68,83.36,175,1,0,12,10.45,30.48,15.21,1.5,5.73,1,Delhi Capitals,19.75,3.45
2017,Venkatesh Iyer,Batsman,Indian,27,2,34.38,151.7,406,6,2,0,9.54,49.12,23.52,2.0,11.87,1,Kolkata Knight Riders,67.38,5.68
2017,Chris Morris,All-Rounder,Indian,26,0,26.73,112.55,169,1,0,10,9.18,27.48,13.71,2.0,8.33,1,Kolkata Knight Riders,42.83,5.14
2017,Cameron Green,All-Rounder,English,27,1,21.87,90.0,228,2,0,14,8.68,16.0,17.51,0.5,16.65,1,Royal Challengers Bangalore,42.91,2.58
2017,Rishabh Pant,Batsman,Indian,25,2,33.95,129.74,532,9,1,2,10.17,22.86,35.66,1.0,5.94,1,Mumbai Indians,63.14,10.63
2017,Deepak Chahar,Bowler,New Zealand,23,1,15.23,117.98,132,1,0,10,9.63,17.27,15.39,1.0,5.66,1,Sunrisers Hyderabad,17.43,3.08
2017,Jimmy Neesham,All-Rounder,Indian,23,2,30.07,120.44,210,2,0,5,10.7,24.39,19.01,2.0,11.22,1,Sunrisers Hyderabad,37.61,3.35
2017,Jasprit Bumrah,Bowler,Indian,22,0,17.46,109.69,140,1,0,21,8.04,18.15,21.43,0.5,6.12,1,Gujarat Titans,38.78,6.34
2017,Ruturaj Gaikwad,Batsman,Indian,25,1,31.22,163.41,384,6,2,2,10.31,43.85,30.02,1.0,15.43,1,Punjab Kings,69.19,4.48
2017,Ravindra Jadeja,Bowler,Indian,24,0,17.2,155.44,86,0,0,10,8.18,22.18,20.2,0.5,2.68,1,Punjab Kings,21.32,7.96
2017,Jason Holder,All-Rounder,Australian,23,1,19.41,130.98,125,1,0,3,10.41,28.8,17.21,1.0,6.68,1,Royal Challengers Bangalore,34.65,5.19
2017,Anrich Nortje,Bowler,Indian,26,2,10.6,115.79,140,1,0,21,8.52,27.85,19.61,0.5,13.9,1,Chennai Super Kings,37.34,2.69
2017,Rinku Singh,Batsman,Indian,26,0,23.04,136.02,231,4,1,1,9.38,41.35,27.48,1.0,9.75,1,Kolkata Knight Riders,54.64,5.6
2017,Moeen Ali,All-Rounder,Indian,27,1,22.2,90.0,287,3,0,9,10.72,32.28,31.45,0.5,7.96,1,Lucknow Super Giants,34.35,4.32
2017,Adam Zampa,Bowler,South African,27,0,15.64,104.67,88,0,0,13,6.0,14.8,26.19,0.5,7.2,1,Mumbai Indians,32.38,4.5
2017,Shardul Thakur,Bowler,English,25,1,15.49,82.93,91,0,0,10,8.58,32.04,10.0,1.5,6.62,1,Chennai Super Kings,20.17,3.05
2017,Nitish Rana,All-Rounder,Indian,21,0,29.95,116.49,323,3,0,8,8.23,28.49,18.53,1.0,9.68,1,Royal Challengers Bangalore,43.93,4.54
2017,Rohit Sharma,Batsman,Indian,23,0,28.98,148.36,479,7,1,4,9.18,25.13,23.21,0.2,7.5,1,Sunrisers Hyderabad,65.68,8.76
2017,Prithvi Shaw,Batsman,Indian,22,0,46.26,118.83,447,6,2,3,7.79,35.07,26.71,1.0,6.56,1,Lucknow Super Giants,63.09,9.62
2017,Glenn Maxwell,Batsman,Indian,22,0,22.85,139.95,346,6,0,2,13.0,30.14,14.0,1.0,8.41,1,Royal Challengers Bangalore,58.04,6.9
2017,Jos Buttler,Batsman,Indian,25,0,40.38,131.96,261,3,0,2,9.89,45.51,20.63,0.5,5.95,1,Sunrisers Hyderabad,60.96,10.25
2017,Bhuvneshwar Kumar,Bowler,Indian,25,0,5.0,99.75,10,0,0,17,10.1,28.68,13.05,0.2,5.89,1,Kolkata Knight Riders,25.6,4.35
2017,Marcus Stoinis,All-Rounder,South African,26,0,22.92,136.61,30,0,0,9,9.37,37.28,26.11,1.5,13.62,1,Lucknow Super Giants,45.11,3.31
2017,KL Rahul,Batsman,Indian,25,0,25.52,145.63,293,6,0,2,9.35,39.09,17.41,0.2,6.34,1,Kolkata Knight Riders,59.76,9.43
2017,Ishan Kishan,Batsman,Indian,22,0,23.23,137.35,300,4,0,6,9.86,44.04,14.76,0.5,4.46,1,Sunrisers Hyderabad,56.5,12.67
2017,Trent Boult,Bowler,Indian,21,2,30.8,80.0,89,0,0,12,7.68,30.12,19.17,0.2,5.95,1,Delhi Capitals,25.85,4.34
2017,Axar Patel,Batsman,Indian,23,1,16.17,151.46,261,5,0,3,9.19,58.34,25.75,0.5,8.65,1,Delhi Capitals,57.13,6.6
2017,Mitchell Marsh,All-Rounder,Australian,25,0,19.14,137.1,265,2,0,11,10.96,38.93,17.03,0.5,6.99,1,Rajasthan Royals,45.4,6.5
2017,Shivam Dube,All-Rounder,Indian,25,2,25.88,121.14,332,3,0,8,9.29,27.8,25.63,1.5,10.55,1,Royal Challengers Bangalore,41.72,3.95
2017,Kuldeep Yadav,Bowler,Indian,25,1,31.04,136.05,234,1,0,8,7.93,28.05,19.15,0.5,4.47,1,Kolkata Knight Riders,20.55,4.6
2017,Jason Holder,Bowler,Australian,23,1,15.47,138.75,195,1,0,20,7.57,30.08,17.85,1.0,15.28,1,Kolkata Knight Riders,39.24,2.57
2017,Harshal Patel,Bowler,Indian,25,2,20.72,126.29,163,1,0,18,7.43,26.59,20.2,1.0,9.25,1,Punjab Kings,36.34,3.93
2017,Piyush Chawla,Bowler,Indian,24,0,11.28,121.89,192,1,0,8,9.35,17.24,25.44,0.5,3.36,1,Rajasthan Royals,15.87,4.72
2017,Mohammed Shami,Bowler,Indian,24,0,15.18,128.39,72,0,0,10,9.95,24.02,16.28,0.2,2.56,1,Punjab Kings,15.87,6.2
2017,Quinton de Kock,Batsman,Indian,26,2,35.41,131.9,238,4,0,0,9.08,41.33,14.76,1.0,8.83,1,Kolkata Knight Riders,58.49,6.62
2017,Arshdeep Singh,Bowler,South African,22,0,12.56,84.58,57,0,0,14,9.01,26.44,22.2,0.5,5.2,1,Punjab Kings,24.54,4.72
2017,Imran Tahir,Bowler,Indian,25,2,19.84,93.58,148,1,0,18,9.47,40.56,18.57,0.5,5.08,1,Gujarat Titans,30.07,5.92
2017,Prasidh Krishna,Bowler,Indian,25,0,9.21,135.59,47,0,0,10,8.87,20.31,19.78,1.5,6.77,1,Sunrisers Hyderabad,18.86,2.79
2017,Virat Kohli,Batsman,Indian,25,2,25.13,158.26,397,7,1,0,8.79,43.74,25.58,0.5,8.81,1,Rajasthan Royals,65.47,7.43
2017,Amit Mishra,Bowler,Indian,25,0,16.11,125.13,144,1,0,12,8.75,29.42,15.34,1.5,4.36,1,Punjab Kings,23.19,5.32
